,Car Name,Making Year,Registration year,Fule,km_driven,Engine_Displacement,No_Of_Owner,RTO,Transmission,Insurance_Type,Current_Price,Avg_market_price,New_Car_Road_Price,Mileage,Seats,Color,Engine,Max_Power,Torque
0,2019 Mahindra XUV500,2019,Mar-19,Diesel,59803,2179 cc,1st Owner,DL12,Manual,Third Party insurance,1186000,1245300,1699700,15.1 kmpl,12345671,Other,2179 CC,152.87bhp,360Nm
1,2016 Maruti Alto K10,2016,Mar-16,CNG,59902,998 cc,1st Owner,UP16,Manual,Third Party insurance,280000,294000,497476,32.26 kmpl,4,Grey,998 CC,58.3bhp,78Nm
2,2017 Maruti Eeco,2017,Feb-17,CNG,47479,1196 cc,1st Owner,DL4C,Manual,Third Party insurance,338500,355425,544727,21.94 km/kg,5,Other,1196 CC,61.7bhp,85Nm
3,2018 Maruti Baleno,2018,Nov-18,Petrol,43228,1197 cc,1st Owner,UP16,Manual,Third Party insurance,600500,630525,840597,21.01 kmpl,R16,5,1197 CC,81.80bhp,113Nm
4,2015 Maruti Swift,2015,Feb-15,Diesel,43951,1248 cc,1st Owner,DL5C,Manual,Third Party insurance,430500,452025,798110,28.4 kmpl,5,Other,1248 CC,74bhp,190Nm
5,2017 Maruti Ciaz,2017,Oct-17,Petrol,46696,1373 cc,1st Owner,HR26,Manual,Not Available,704000,739200,910329,20.73 kmpl,5,Other,1373 CC,91.1bhp,130Nm
6,2012 Hyundai i10,2012,Jul-12,Petrol,76591,1197 cc,2nd Owner,DL6C,Manual,Third Party insurance,240000,252000,508741,20.36 kmpl,13,5,1197 CC,78.9bhp,111.7Nm
7,2019 Hyundai Grand i10,2019,Apr-19,Petrol,11004,1197 cc,2nd Owner,DL7C,Manual,Third Party insurance,444000,466200,547789,17 kmpl,5,Other,1197 CC,81.86bhp,113.75Nm
8,2018 Renault Duster,2018,Apr-18,Diesel,16913,1461 cc,1st Owner,HR51,Manual,Third Party insurance,708500,743925,1048147,19.87 kmpl,5,Other,1461 CC,83.8bhp,200Nm
9,2015 Maruti Swift Dzire,2015,Dec-15,Diesel,25433,1248 cc,1st Owner,HR26,Manual,Third Party insurance,587000,616350,803064,26.59 kmpl,5,White,1248 CC,74bhp,190Nm
10,2018 Maruti Vitara Brezza,2018,Feb-18,Diesel,56904,1248 cc,1st Owner,DL2C,Manual,Third Party insurance,687500,721875,884878,24.3 kmpl,5,Other,1248 CC,88.5bhp,200Nm
11,2015 Maruti Ciaz,2015,Dec-15,Diesel,11847,1248 cc,1st Owner,DL1C,Manual,Third Party insurance,499500,524475,938671,28.09 kmpl,5,Other,1248 CC,88.5bhp,200Nm
12,2014 Ford Ecosport,2014,Jul-14,Diesel,85420,1498 cc,1st Owner,DL12,Manual,Third Party insurance,462500,485625,1137277,21.7 kmpl,R16,5,1498 CC,98.96bhp,215Nm
13,2019 Renault KWID,2018,Jan-19,Petrol,10287,799 cc,1st Owner,HR29,Manual,Third Party insurance,350000,367500,439535,25.17 kmpl,5,Red,799 CC,53.3bhp,72Nm
19,2017 Maruti Baleno,2017,Mar-17,Petrol,23251,1197 cc,1st Owner,2 2022,Automatic,Manual,630500,662025,721292,21.4 kmpl,16,5,1197 CC,83.1bhp,115Nm
20,2016 Mahindra KUV 100,2016,Mar-16,Diesel,56868,1198 cc,1st Owner,HR35,Manual,Not Available,398500,418425,898738,25.32 kmpl,15,6,1198 CC,77bhp,190Nm
21,2012 Hyundai Verna,2012,Dec-12,Petrol,56868,1591 cc,1st Owner,HR26,Manual,Third Party insurance,363500,381675,1194501,17.01 kmpl,16,5,1591 CC,121.3bhp,154.9Nm
22,2016 Maruti Ciaz,2016,May-16,Diesel,56868,1248 cc,1st Owner,HR51,Manual,Third Party insurance,562000,590100,1164393,28.09 kmpl,16,5,1248 CC,88.5bhp,200Nm
23,2015 Hyundai Grand i10,2015,Dec-15,Petrol,70011,1197 cc,2nd Owner,HR26,Manual,Third Party insurance,360500,378525,657673,18.9 kmpl,5,White,1197 CC,81.86bhp,113.75nm
24,2014 Maruti Swift Dzire,2014,Jun-14,Diesel,64752,1248 cc,1st Owner,DL8C,Manual,Third Party insurance,410500,431025,772281,23.4 kmpl,14,5,1248 CC,74bhp,190Nm
25,2017 Maruti Baleno,2017,Oct-17,Petrol,35289,1197 cc,1st Owner,DL9C,Manual,Third Party insurance,594186,623895,701952,21.4 kmpl,5,Grey,1197 CC,83.1bhp,115Nm
26,2014 Maruti Swift,2014,Jul-14,Diesel,33229,1248 cc,1st Owner,DL03,Manual,Third Party insurance,451500,474075,737717,25.2 kmpl,5,Grey,1248 CC,74bhp,190Nm
27,2019 Maruti Baleno,2019,Nov-19,Diesel,27963,1248 cc,1st Owner,1 2022,Automatic,Manual,681000,715050,800395,27.39 kmpl,5,Grey,1248 CC,74bhp,190Nm
28,2015 Hyundai Grand i10,2015,Jul-15,Petrol,40307,1197 cc,1st Owner,DL12,Manual,Third Party insurance,427870,449264,618849,18.9 kmpl,5,White,1197 CC,82bhp,114Nm
29,2017 Renault KWID,2016,Jan-17,Petrol,32933,999 cc,1st Owner,HR29,Manual,Third Party insurance,260000,273000,487006,23.01 kmpl,5,White,999 CC,67bhp,91Nm
30,2018 Maruti Baleno,2018,Mar-18,Petrol,17985,1197 cc,1st Owner,DL14,Manual,Third Party insurance,594000,623700,622370,21.4 kmpl,5,Other,1197 CC,83.1bhp,115Nm
31,2018 Hyundai i20,2018,Nov-18,Petrol,33322,1197 cc,1st Owner,DL07,Manual,Third Party insurance,617000,647850,657576,18.6 kmpl,5,Red,1197 CC,81.83bhp,114.7Nm
32,2015 Maruti Swift Dzire,2014,Jan-15,Diesel,82471,1248 cc,1st Owner,DL9C,Manual,Third Party insurance,513500,539175,824977,26.59 kmpl,5,Other,1248 CC,74bhp,190Nm
33,2019 Maruti Swift,2019,Nov-19,Petrol,23742,1197 cc,1st Owner,HR26,Manual,Third Party insurance,490000,514500,646778,23.2 kmpl,5,Other,1197 CC,88.50bhp,113Nm
34,2015 Maruti Swift,2015,Feb-15,Diesel,89046,1248 cc,1st Owner,DL12,Manual,Third Party insurance,430000,451500,737717,25.2 kmpl,5,Other,1248 CC,74bhp,190Nm
35,2017 Maruti Swift,2017,Oct-17,Diesel,77503,1248 cc,1st Owner,UP14,Manual,Third Party insurance,491500,516075,790410,28.4 kmpl,5,Other,1248 CC,74bhp,190Nm
36,2017 Hyundai i20,2017,May-17,Petrol,18692,1197 cc,1st Owner,DL08,Manual,Third Party insurance,616000,646800,657576,18.6 kmpl,5,White,1197 CC,81.83bhp,114.7Nm
37,2011 Hyundai i20,2011,Nov-11,Petrol,48347,1197 cc,1st Owner,DL4C,Manual,Not Available,300000,315000,644986,17 kmpl,14,5,1197 CC,80 PS at 5200 rpm,"11.4 kgm at 4,000 rpm"
38,2017 Maruti Baleno,2017,Aug-17,Petrol,48347,1197 cc,1st Owner,DL7C,Manual,Third Party insurance,495500,520275,636917,21.4 kmpl,5,Grey,1197 CC,83.1bhp,115Nm
40,2017 Maruti Swift,2017,Sep-17,Petrol,35477,1197 cc,1st Owner,DL9C,Manual,Not Available,468000,491400,553690,20.4 kmpl,5,Silver,1197 CC,81.80bhp,113Nm
